"","Estimate","Std. Error","t value","Pr(>|t|)","metal"
"3","-0.297158833458879","0.366847244264811","-0.810034252961085","0.425879703672232","V_P01106_Aluminum_wf"
"4","0.00107966833589047","0.00100311151135048","1.07631935599754","0.293994774565945","V_P01095_Antimony_wf"
"5","-0.0117621739069329","0.0136380393219641","-0.862453438449165","0.394855688652703","V_P01000_Arsenic_wf"
"6","0.233286352341415","0.202505979109526","1.15199735517558","0.257358326299246","V_P01005_Barium_wf"
"7","-0.000626193645468825","0.00107252098831854","-0.583852113188523","0.565539039638157","V_P01010_Beryllium_wf"
"8","-0.234989583077774","0.467384174556404","-0.502776079872203","0.618460815521892","V_P01020_Boron_wf"
"9","0.00224203858299168","0.00135128144360414","1.65919438441463","0.107854671899125","V_P01025_Cadmium_wf"
"10","4.86858844230803e-05","0.00239237897263046","0.0203504064281042","0.983919218918682","V_P01030_Chromium_wf"
"11","-0.00502748314693923","0.00500026553521654","-1.00544323327051","0.322226193835797","V_P01035_Cobalt_wf"
"12","-0.00851273697428164","0.0250075354518817","-0.340406874186441","0.735707665203134","V_P01040_Copper_wf"
"13","-0.00304467126641315","0.00876374564219285","-0.347416663002478","0.730419813643734","V_P01049_Lead_wf"
"14","-0.0754885602397485","0.109091713377698","-0.69197336720152","0.493794411707112","V_P01130_Lithium_wf"
"15","-0.638826221934951","0.737507977409328","-0.866195677203357","0.392454469665278","V_P01056_Manganese_wf"
"16","-4.51892849685511e-05","0.0180492751716196","-0.00250366203290014","0.998017001361426","V_P01060_Molybdenum_wf"
"17","-0.0110624607648606","0.0103555223715526","-1.06826680180326","0.293393026440331","V_P01065_Nickel_wf"
"18","-0.00847392412455389","0.0105518181502496","-0.803077157309939","0.427508770524913","V_P01145_Selenium_wf"
"19","-0.00947182709161822","0.00916098316343939","-1.03393128473583","0.409809453786358","V_P01075_Silver_wf"
"20","3.83730906995415","2.61818680866163","1.46563608725678","0.151935121974413","V_P01080_Strontium_wf"
"21","0.000348283594619858","0.000575806349446473","0.604862372488017","0.554948167719475","V_P01057_Thallium_wf"
"22","-0.00678439333033351","0.0425308809245048","-0.159516877686504","0.874264264884073","V_P01085_Vanadium_wf"
"23","0.154016815914426","0.0801849758278271","1.92076900098007","0.0631791046259018","V_P01090_Zinc_wf"
"24","-0.0358282016500888","0.071985190916792","-0.497716282943569","0.622087202229734","V_P22703_Uranium_wf"
